index,player,team,number
1,Stephen Curry,Golden State Warriors,30
2,Kawhi Leonard,Los Angeles Clippers,2
3,Giannis Antetokounmpo,Milwaukee Bucks,34
4,Kyrie Irving,Brooklyn Nets,11
5,Kevin Durant,Brooklyn Nets,7
6,Klay Thompson,Golden State Warriors,11
7,Draymond Green,Golden State Warriors,23
8,Zion Williamson,New Orleans Pelicans,1
9,Luka Doncic,Dallas Mavericks,77
10,Zach Lavine,Chicago Bulls,8
11,Jayson Tatum,Boston Celtics,0
12,Jaylen Brown,Boston Celtics,7
13,LeBron James,Los Angeles Lakers,23
14,Russell Westbrook,Los Angeles Lakers,0
15,Tyrese Maxey,Philadelphia 76ers,0
16,Joel Embiid,Philadelphia 76ers,21
17,Jalen Brunson,New York Knicks,11
18,Donovan Mitchell,Cleveland Cavaliers,45
19,Darius Garland,Cleveland Cavaliers,10
20,Andrew Wiggins,Golden State Warriors,22
